Cement Brand,Specific weight of cement,Dry specific weight of fine aggregate,Fineness module of fine aggregate,Dry specific weight of coarse aggregate,Fineness module of coarse aggregate,Nominal maximum size,Slump,Cement weight,Fine aggregate weight,Coarse aggregate weight,Water weight,Concrete strenght at 28 days
MISHKY IP,2840,2680,2.82,2700,6.22,0.5,2,402.038,784.5,879.757,229.174,259.55
YURA IP,2810,2552,2.69,2700,6.22,0.5,1,386.819,722.494,912.077,216,265.15
YURA IP,2810,2552,2.69,2700,6.22,0.5,1,401.826,880.581,786.094,220.42,269.76
YURA IP,2810,2552,2.69,2700,6.22,0.5,4,441.18,682.681,831.839,242.008,276.27
YURA IP,2810,2552,2.69,2700,6.22,0.5,2,402.038,765.89,859.971,229.174,264.63
WARI TIPO I,3610,2552,2.69,2700,6.22,0.5,2.25,386.819,761.408,912.077,216,531.14
WARI TIPO I,3610,2552,2.69,2700,6.22,0.5,3,401.826,902.491,805.652,220.42,550.64
WARI TIPO I,3610,2552,2.69,2700,6.22,0.5,9,441.18,780.64,775.207,242.008,524.26
WARI TIPO I,3610,2552,2.69,2700,6.22,0.5,8,402.038,765.89,859.971,229.174,510.4
MISHKY IP,2840,2552,2.69,2700,6.22,0.5,2,386.819,726.22,912.077,216,289.61
MISHKY IP,2840,2552,2.69,2700,6.22,0.5,1.5,401.826,882.671,787.959,220.42,262.88
MISHKY IP,2840,2552,2.69,2700,6.22,0.5,4,441.18,692.024,826.438,242.008,286.36
MISHKY IP,2840,2552,2.69,2700,6.22,0.5,2.5,402.038,765.89,859.971,229.174,260.58
YURA IP,2810,2490,2.54,2700,6.22,0.5,0.75,386.819,682.613,936.473,216,253.51
YURA IP,2810,2490,2.54,2700,6.22,0.5,1,401.826,824.385,824.059,220.42,262.79
YURA IP,2810,2490,2.54,2700,6.22,0.5,3.75,441.18,649.623,849.893,242.008,255.35
YURA IP,2810,2490,2.54,2700,6.22,0.5,1.75,402.038,828.572,773.559,229.174,238.15
WARI TIPO I,3610,2490,2.54,2700,6.22,0.5,2.75,386.819,720.593,936.473,216,501.89
WARI TIPO I,3610,2490,2.54,2700,6.22,0.5,1.5,401.826,844.896,844.562,220.42,513.35
WARI TIPO I,3610,2490,2.54,2700,6.22,0.5,6.75,441.18,742.837,795.851,242.008,499.89
WARI TIPO I,3610,2490,2.54,2700,6.22,0.5,3,402.038,828.572,773.559,229.174,487.85
MISHKY IP,2840,2490,2.54,2700,6.22,0.5,1.75,386.819,686.249,936.473,216,263.21
MISHKY IP,2840,2490,2.54,2700,6.22,0.5,1.25,401.826,826.341,826.014,220.42,257.3
MISHKY IP,2840,2490,2.54,2700,6.22,0.5,4.25,441.18,658.513,844.738,242.008,280.13
MISHKY IP,2840,2490,2.54,2700,6.22,0.5,2.25,402.038,828.572,773.559,229.174,258.7
YURA IP,2810,2680,2.82,2380,6.66,0.5,1.75,386.819,816.294,755.355,216,235.67
YURA IP,2810,2680,2.82,2380,6.66,0.5,1.75,401.826,826.337,782.748,220.42,255.62
YURA IP,2810,2680,2.82,2380,6.66,0.5,5.5,441.18,861.746,607.005,242.008,259.17
YURA IP,2810,2680,2.82,2380,6.66,0.5,1.25,393.384,847.592,794.995,214.048,255.46
WARI TIPO I,3610,2680,2.82,2380,6.66,0.5,3.75,386.819,857.217,755.355,216,478.05
WARI TIPO I,3610,2680,2.82,2380,6.66,0.5,4,401.826,846.896,802.223,220.42,470.95
WARI TIPO I,3610,2680,2.82,2380,6.66,0.5,8,441.18,966.331,555.599,242.008,501.98
WARI TIPO I,3610,2680,2.82,2380,6.66,0.5,3.5,393.384,847.592,794.995,214.048,458.59
MISHKY IP,2840,2680,2.82,2380,6.66,0.5,2,386.819,820.212,755.355,216,285.19
MISHKY IP,2840,2680,2.82,2380,6.66,0.5,2,401.826,828.297,784.605,220.42,284.9
MISHKY IP,2840,2680,2.82,2380,6.66,0.5,6.5,441.18,871.721,602.102,242.008,290.34
MISHKY IP,2840,2680,2.82,2380,6.66,0.5,2.75,393.384,847.721,794.995,214.048,294.06
YURA IP,2810,2552,2.69,2380,6.66,0.5,1.75,386.819,757.606,772.717,216,265.34
YURA IP,2810,2552,2.69,2380,6.66,0.5,1.75,401.826,760.8,806.042,220.42,278.78
YURA IP,2810,2552,2.69,2380,6.66,0.5,5.5,441.18,762.42,660.215,242.008,282.78
YURA IP,2810,2552,2.69,2380,6.66,0.5,1.25,393.384,876.411,725.576,214.048,288.9
WARI TIPO I,3610,2552,2.69,2380,6.66,0.5,7,386.819,796.519,772.717,216,533.33
WARI TIPO I,3610,2552,2.69,2380,6.66,0.5,6.75,401.826,779.729,826.097,220.42,549.47
WARI TIPO I,3610,2552,2.69,2380,6.66,0.5,8.5,441.18,854.95,615.268,242.008,531.67
WARI TIPO I,3610,2552,2.69,2380,6.66,0.5,2.25,393.384,876.411,725.576,214.048,506.16
MISHKY IP,2840,2552,2.69,2380,6.66,0.5,2,386.819,761.331,772.717,216,291.26
MISHKY IP,2840,2552,2.69,2380,6.66,0.5,2,401.826,762.605,807.955,220.42,296.89
MISHKY IP,2840,2552,2.69,2380,6.66,0.5,9.5,441.18,771.245,655.929,242.008,243.33
MISHKY IP,2840,2552,2.69,2380,6.66,0.5,1.75,393.384,876.411,725.576,214.048,291.81
YURA IP,2810,2490,2.54,2380,6.66,0.5,1,386.819,717.804,793.385,216,256.27
YURA IP,2810,2490,2.54,2380,6.66,0.5,1.25,401.826,715.485,831.914,220.42,273.04
YURA IP,2810,2490,2.54,2380,6.66,0.5,1.75,441.18,727.344,676.258,242.008,264.04
YURA IP,2810,2490,2.54,2380,6.66,0.5,1,393.384,872.072,708.552,214.048,256.01
WARI TIPO I,3610,2490,2.54,2380,6.66,0.5,2,386.819,755.783,793.385,216,519.09
WARI TIPO I,3610,2490,2.54,2380,6.66,0.5,2.5,401.826,733.286,852.613,220.42,559.18
WARI TIPO I,3610,2490,2.54,2380,6.66,0.5,6.5,441.18,815.617,633.258,242.008,545.42
WARI TIPO I,3610,2490,2.54,2380,6.66,0.5,5.5,393.384,872.072,708.552,214.048,491.35
MISHKY IP,2840,2490,2.54,2380,6.66,0.5,1.75,386.819,721.44,793.385,216,278.03
MISHKY IP,2840,2490,2.54,2380,6.66,0.5,2,401.826,717.183,833.888,220.42,297.64
MISHKY IP,2840,2490,2.54,2380,6.66,0.5,4.5,441.18,735.763,672.157,242.008,293.78
MISHKY IP,2840,2490,2.54,2380,6.66,0.5,1.75,393.384,872.072,708.552,214.048,286.24
YURA IP,2810,2680,2.82,2600,6.38,0.5,2,386.819,773.018,826.562,216,236.92
YURA IP,2810,2680,2.82,2600,6.38,0.5,2,401.826,913.437,723.277,220.42,232.11
YURA IP,2810,2680,2.82,2600,6.38,0.5,5.25,441.18,717.742,765.07,242.008,234.79
YURA IP,2810,2680,2.82,2600,6.38,0.5,3,402.038,847.789,786.071,229.174,222.64
WARI TIPO I,3610,2680,2.82,2600,6.38,0.5,2.75,386.819,873.077,807.991,216,434.19
WARI TIPO I,3610,2680,2.82,2600,6.38,0.5,2,401.826,1019.317,707.602,220.42,482.28
WARI TIPO I,3610,2680,2.82,2600,6.38,0.5,8.75,441.18,923.633,646.894,242.008,501.66
WARI TIPO I,3610,2680,2.82,2600,6.38,0.5,8,402.038,847.789,786.071,229.174,405.27
MISHKY IP,2840,2680,2.82,2600,6.38,0.5,3.25,386.819,836.071,807.991,216,266.21
MISHKY IP,2840,2680,2.82,2600,6.38,0.5,3,401.826,996.931,692.062,220.42,214.36
MISHKY IP,2840,2680,2.82,2600,6.38,0.5,8,441.18,825.449,701.038,242.008,240.88
MISHKY IP,2840,2680,2.82,2600,6.38,0.5,6.5,402.038,847.789,786.071,229.174,228.54
YURA IP,2810,2552,2.69,2600,6.38,0.5,2.75,386.819,773.018,826.562,216,261.43
YURA IP,2810,2552,2.69,2600,6.38,0.5,2.25,401.826,913.437,723.277,220.42,272.45
YURA IP,2810,2552,2.69,2600,6.38,0.5,8,441.18,717.742,765.07,242.008,262.65
YURA IP,2810,2552,2.69,2600,6.38,0.5,5.5,402.038,883.822,706.734,229.174,252.05
WARI TIPO I,3610,2552,2.69,2600,6.38,0.5,3,386.819,811.932,826.562,216,423.79
WARI TIPO I,3610,2552,2.69,2600,6.38,0.5,2.75,401.826,936.164,741.273,220.42,506.23
WARI TIPO I,3610,2552,2.69,2600,6.38,0.5,9,441.18,813.313,712.983,242.008,468.83
WARI TIPO I,3610,2552,2.69,2600,6.38,0.5,8.25,402.038,883.822,706.734,229.174,433.43
MISHKY IP,2840,2552,2.69,2600,6.38,0.5,6.75,386.819,776.744,826.562,216,277.47
MISHKY IP,2840,2552,2.69,2600,6.38,0.5,3.75,401.826,915.605,724.994,220.42,254.51
MISHKY IP,2840,2552,2.69,2600,6.38,0.5,9,441.18,726.857,760.102,242.008,221.64
MISHKY IP,2840,2552,2.69,2600,6.38,0.5,7.5,402.038,883.822,706.734,229.174,235.33
YURA IP,2810,2490,2.54,2600,6.38,0.5,1.75,386.819,733.27,848.67,216,255.74
YURA IP,2810,2490,2.54,2600,6.38,0.5,1.5,401.826,856.688,759.578,220.42,273.34
YURA IP,2810,2490,2.54,2600,6.38,0.5,5,441.18,683.748,782.546,242.008,261.77
YURA IP,2810,2490,2.54,2600,6.38,0.5,1.75,402.038,888.819,679.975,229.174,247.52
WARI TIPO I,3610,2490,2.54,2600,6.38,0.5,4,386.819,771.249,848.67,216,440.98
WARI TIPO I,3610,2490,2.54,2600,6.38,0.5,2.5,401.826,878.002,778.476,220.42,432.17
WARI TIPO I,3610,2490,2.54,2600,6.38,0.5,5.75,441.18,774.793,732.787,242.008,491.08
WARI TIPO I,3610,2490,2.54,2600,6.38,0.5,3.5,402.038,888.819,679.975,229.174,493.61
MISHKY IP,2840,2490,2.54,2600,6.38,0.5,2,386.819,736.906,848.67,216,262.92
MISHKY IP,2840,2490,2.54,2600,6.38,0.5,1.75,401.826,858.72,761.38,220.42,279.84
MISHKY IP,2840,2490,2.54,2600,6.38,0.5,6,441.18,692.431,777.801,242.008,271.57
MISHKY IP,2840,2490,2.54,2600,6.38,0.5,2.25,402.038,888.819,679.975,229.174,271.91
YURA IP,2810,2427,2.33,2685,6.16,0.5,4.5,309.23,729.87,979.4,201,146.47
YURA IP,2810,2427,2.33,2685,6.16,0.5,5,341.67,681.31,991.83,205,179.93
YURA IP,2810,2427,2.33,2685,6.16,0.5,4.75,376.36,631.77,1008.58,207,220.72
YURA IP,2799,2469.56,2.66,2698.5,6.71,0.75,3,368.71,642.86,1033.41,205,246.14
MISHKY IP,2866,2469.56,2.66,2698.5,6.71,0.75,5,368.71,650.47,1033.41,205,299.88
ANDINO IP,2954,2469.56,2.66,2698.5,6.71,0.75,3.5,368.71,659.93,1033.41,205,339.63
YURA IP,2799,2469.56,2.66,2698.5,6.71,0.75,3.25,439.91,580.04,1033.41,205,345.83
MISHKY IP,2866,2469.56,2.66,2698.5,6.71,0.75,6.5,439.91,589.11,1033.41,205,366.91
ANDINO IP,2954,2469.56,2.66,2698.5,6.71,0.75,4.4,439.91,600.4,1033.41,205,451.06
YURA IP,2799,2570.63,2.43,2599.08,6.45,0.75,3.75,368.71,791.04,872.12,205,232.48
MISHKY IP,2866,2570.63,2.43,2599.08,6.45,0.75,5.5,368.71,798.96,872.12,205,286.78
ANDINO IP,2954,2570.63,2.43,2599.08,6.45,0.75,4,368.71,808.81,872.12,205,298.66
YURA IP,2799,2570.63,2.43,2599.08,6.45,0.75,4.6,439.91,725.64,872.12,205,328.23
MISHKY IP,2866,2570.63,2.43,2599.08,6.45,0.75,6.75,439.91,735.08,872.12,205,355.09
ANDINO IP,2954,2570.63,2.43,2599.08,6.45,0.75,5,439.91,746.84,876.12,205,450.46
YURA IP,2799,2314.21,2.81,2419.2,6.57,0.75,2.5,368.71,605.62,923.1,205,221.92
MISHKY IP,2866,2314.21,2.81,2419.2,6.57,0.75,3.75,368.71,612.75,923.1,205,240.28
ANDINO IP,2954,2314.21,2.81,2419.2,6.57,0.75,3,368.71,621.62,923.1,205,298.07
YURA IP,2799,2314.21,2.81,2419.2,6.57,0.75,2.9,439.91,546.75,923.1,205,317.51
MISHKY IP,2866,2314.21,2.81,2419.2,6.57,0.75,5.75,439.91,555.25,923.1,205,350.93
ANDINO IP,2954,2314.21,2.81,2419.2,6.57,0.75,4.25,439.91,565.83,923.1,205,433.28
YURA IP,2840,2430,3.84,2531,7.34,1,4.5,351,632,1033,193,232
YURA IP,2840,2430,3.84,2531,7.34,1,4.75,351,666,997,193,253
YURA IP,2840,2430,3.84,2531,7.34,1,4.75,351,697,964,193,231
YURA IP,2840,2430,3.84,2531,7.34,1,4,400,610,997,200,283
YURA IP,2840,2430,3.84,2531,7.34,1,4.5,400,642,964,200,296
YURA IP,2840,2430,3.84,2531,7.34,1,4.75,400,673,932,200,246
YURA IP,2840,2430,3.84,2531,7.34,1,4.5,460,612,921,207,342
YURA IP,2840,2430,3.84,2531,7.34,1,4.75,460,583,952,207,398
YURA IP,2840,2430,3.84,2531,7.34,1,4.75,460,554,982,207,352
YURA IP,2850,2490,2.91,2689,6.36,0.5,3,387.1,749.49,866.21,216,262
YURA IP,2850,2490,2.91,2689,6.36,0.5,3,463.52,682.83,866.21,216,354
WARI TIPO I,2950,2490,2.91,2689,6.36,0.5,3.5,387.1,761.94,866.21,216,346
WARI TIPO I,2950,2490,2.91,2689,6.36,0.5,3,463.52,696.56,866.21,216,442.4
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,3.5,325,701,1000,205,176
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,3.5,366,667,1000,205,258
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,3.5,436,608,1000,205,350
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,3,326.43,517.16,1206.17,205,186
YURA IP,2810,2399,2.57,2418.5,6.344,0.75,3,367.12,473.38,1217.71,205,262
YURA IP,2810,2467.5,2.66,2700,6.75,0.75,2.25,367.38,663.65,1045.07,205,291
YURA IP,2810,2467.5,2.66,2700,6.75,0.75,2.625,439.91,599.5,1045.07,205,359
WARI TIPO I,2950,2467.5,2.66,2700,6.75,0.75,2.5,367.38,674.67,1045.07,205,389
WARI TIPO I,2950,2467.5,2.66,2700,6.75,0.75,2.375,439.91,599.5,1045.07,205,483
YURA IP,2810,2600,2.94,2412,7.45,0.75,4.5,326,573,1013,205,237.36
YURA IP,2810,2600,2.94,2412,7.45,0.75,4,367.12,536.73,1012.88,205,253.14
YURA IP,2810,2600,2.94,2412,7.45,0.75,2.5,440,472,1013,205,337.42
YURA IP,2810,2520,2.66,2750,6.75,0.75,2.5,326.43,735.4807506,1012.179807,205,260
YURA IP,2810,2520,2.66,2750,6.75,0.75,2.3,367.12,699.5163475,1012.179807,205,331
YURA IP,2810,2520,2.66,2750,6.75,0.75,2,439.9,635.1325208,1012.159872,205,392
YURA IP,2810,2520,2.66,2750,6.75,0.75,2.3,326.43,677.1522538,1075.769959,205,257
YURA IP,2810,2520,2.66,2750,6.75,0.75,2.3,367.12,633.2366028,1084.441344,205,327
YURA IP,2810,2520,2.66,2750,6.75,0.75,2.1,439.91,555.890888,1098.614572,205,389
YURA IP,2850,2340,2.383,2718,7.566,1,4.03,307.32,653.51,1100.49,193,217.23
YURA IP,2850,2340,2.383,2718,7.566,1,3.53,345.63,622.05,1100.49,193,269.78
YURA IP,2850,2340,2.383,2718,7.566,1,2.47,414.16,565.79,1100.49,193,327.81
YURA IP,2850,2340,2.383,2718,7.566,1,4.13,313.69,654.18,1082.76,197,224.18
YURA IP,2850,2340,2.383,2718,7.566,1,3.47,352.79,612.35,1094.07,197,272.86
YURA IP,2850,2340,2.383,2718,7.566,1,2.33,422.75,540.44,1110.87,197,340.33
YURA IP,2850,2340,2.383,2718,7.566,1,4.3,307.32,682.58,1066.72,193,210.09
YURA IP,2850,2340,2.383,2718,7.566,1,3.73,345.63,649.66,1068.42,193,254.3
YURA IP,2850,2340,2.383,2718,7.566,1,2.72,414.16,588.71,1073.87,193,316.33
YURA IP,2850,2340,2.383,2718,7.566,1,3.6,318.56,645.3,1151.52,198.79,235.48
YURA IP,2850,2340,2.383,2718,7.566,1,3.27,362.39,631.11,1126.2,198.79,284.89
YURA IP,2850,2340,2.383,2718,7.566,1,2.8,425.013,610.84,1090.03,198.79,320.09
YURA IP,2850,2340,2.383,2718,7.566,1,4.8,318.56,572.43,1236.17,198.79,171.12
YURA IP,2850,2340,2.383,2718,7.566,1,3.97,362.39,571.9,1194.97,198.79,229.13
YURA IP,2850,2340,2.383,2718,7.566,1,2.32,425.01,571.15,1136.13,198.79,350.42
YURA IP,2850,2340,2.383,2718,7.566,1,2.93,338.47,880.49,757.64,211.21,202.97
YURA IP,2850,2340,2.383,2718,7.566,1,2.73,385.04,809.56,795.61,211.21,238.28
YURA IP,2850,2340,2.383,2718,7.566,1,2.57,451.57,708.23,849.85,211.21,351.61
YURA IP,2850,2340,2.383,2718,7.566,1,3.4,336.98,706.94,975.66,205.69,254.57
YURA IP,2850,2340,2.383,2718,7.566,1,3.35,374.12,687.57,948.93,210.77,261.84
YURA IP,2850,2340,2.383,2718,7.566,1,3.22,447.91,644.76,889.84,224.91,310.42
YURA IP,2850,2340,2.383,2718,7.566,1,3.43,328.13,860.16,889.39,197.71,244.42
YURA IP,2850,2340,2.383,2718,7.566,1,2.87,399.18,818.76,846.56,206.86,310.82
YURA IP,2850,2340,2.383,2718,7.566,1,2.03,525.51,748.52,773.94,220.41,381.11
